,variable,tokens,count,tag
0,Bordeaux-style Red Blend,tannins,3742,variety
1,Bordeaux-style Red Blend,fruit,3141,variety
2,Bordeaux-style Red Blend,flavors,2403,variety
3,Bordeaux-style Red Blend,drink,2314,variety
4,Bordeaux-style Red Blend,cabernet,2264,variety
5,Bordeaux-style Red Blend,black,2137,variety
6,Bordeaux-style Red Blend,ripe,2101,variety
7,Bordeaux-style Red Blend,acidity,2051,variety
8,Bordeaux-style Red Blend,fruits,1806,variety
9,Bordeaux-style Red Blend,blend,1464,variety
10,Bordeaux-style Red Blend,rich,1367,variety
11,Bordeaux-style Red Blend,merlot,1363,variety
12,Bordeaux-style Red Blend,firm,1312,variety
13,Bordeaux-style Red Blend,wood,1263,variety
14,Bordeaux-style Red Blend,sauvignon,1254,variety
15,Bordeaux-style Red Blend,juicy,1147,variety
16,Bordeaux-style Red Blend,structure,1144,variety
17,Bordeaux-style Red Blend,dry,1038,variety
18,Bordeaux-style Red Blend,dark,1025,variety
19,Bordeaux-style Red Blend,blackberry,951,variety
20,Bordeaux-style Red Blend,franc,933,variety
21,Bordeaux-style Red Blend,red,928,variety
22,Bordeaux-style Red Blend,aromas,863,variety
23,Bordeaux-style Red Blend,character,848,variety
24,Bordeaux-style Red Blend,spice,834,variety
25,Bordeaux-style Red Blend,aging,833,variety
26,Bordeaux-style Red Blend,dense,812,variety
27,Bordeaux-style Red Blend,currant,793,variety
28,Bordeaux-style Red Blend,berry,788,variety
29,Bordeaux-style Red Blend,fruity,779,variety
30,Bordeaux-style Red Blend,finish,770,variety
31,Bordeaux-style Red Blend,structured,746,variety
32,Bordeaux-style Red Blend,soft,742,variety
33,Bordeaux-style Red Blend,cherry,730,variety
34,Bordeaux-style Red Blend,years,719,variety
35,Bordeaux-style Red Blend,fresh,705,variety
36,Bordeaux-style Red Blend,shows,656,variety
37,Bordeaux-style Red Blend,palate,638,variety
38,Bordeaux-style Red Blend,age,614,variety
39,Bordeaux-style Red Blend,barrel,600,variety
40,Bordeaux-style Red Blend,fine,589,variety
41,Bordeaux-style Red Blend,plum,577,variety
42,Bordeaux-style Red Blend,balanced,551,variety
43,Bordeaux-style Red Blend,texture,549,variety
44,Bordeaux-style Red Blend,verdot,542,variety
45,Bordeaux-style Red Blend,petit,541,variety
46,Bordeaux-style Red Blend,chocolate,531,variety
47,Bordeaux-style Red Blend,concentrated,526,variety
48,Bordeaux-style Red Blend,solid,515,variety
49,Bordeaux-style Red Blend,tannic,512,variety
50,Cabernet Sauvignon,flavors,5224,variety
51,Cabernet Sauvignon,tannins,3403,variety
52,Cabernet Sauvignon,black,3162,variety
53,Cabernet Sauvignon,fruit,2957,variety
54,Cabernet Sauvignon,cabernet,2938,variety
55,Cabernet Sauvignon,cherry,2688,variety
56,Cabernet Sauvignon,finish,2558,variety
57,Cabernet Sauvignon,aromas,2388,variety
58,Cabernet Sauvignon,oak,2377,variety
59,Cabernet Sauvignon,blackberry,2242,variety
60,Cabernet Sauvignon,palate,1978,variety
61,Cabernet Sauvignon,cassis,1581,variety
62,Cabernet Sauvignon,drink,1461,variety
63,Cabernet Sauvignon,chocolate,1419,variety
64,Cabernet Sauvignon,ripe,1408,variety
65,Cabernet Sauvignon,dry,1304,variety
66,Cabernet Sauvignon,currant,1301,variety
